ocreval Accuracy Report Version 7.0
-----------------------------------
  314118   Characters
    3473   Errors
   98.89%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   98.89%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    2693      419      361     3473   Unmarked
    2693      419      361     3473   Total

   Count   Missed   %Right
   46746      209    99.55   ASCII Spacing Characters
   23184     2480    89.30   ASCII Special Symbols
   12411       48    99.61   ASCII Digits
   79632       87    99.89   ASCII Uppercase Letters
  144900      115    99.92   ASCII Lowercase Letters
    4284       52    98.79   Latin1 Special Symbols
    1323       82    93.80   General Punctuation
    1134       39    96.56   Superscripts and Subscripts
     252        0   100.00   Currency Symbols
     252        0   100.00   Letterlike Symbols
  314118     3112    99.01   Total

  Errors   Marked   Correct-Generated
    2261        0   {------------------------...}-{}
     137        0   { }-{}
      82        0   {CE1897 AUSTRALIA Agency ...}-{}
      82        0   {}-{ }
      42        0   {...}-{…}
      38        0   {’}-{'}
      34        0   {I}-{l}
      27        0   {/}-{ }
      26        0   {}-{'}
      20        0   {}-{n⁵ zs n x n x n x n...}
      19        0   { n⁵ = n x n x n x n}-{}
      19        0   {}-{Superscript Four ⁴<\n>}
      18        0   {}-{l}
      16        0   { ...}-{}
      15        0   {—}-{}
      13        0   {.}-{}
      12        0   {\}-{ }
      12        0   {}-{I}
      11        0   {}-{⁸}
      10        0   {..}-{…}
      10        0   {9}-{0}
      10        0   {r ⁴ | | su}-{}
       9        0   {*987968CC}-{}
       9        0   {\}-{}
       9        0   {³ -}-{¾.}
       8        0   {_}-{ }
       8        0   {cript Fo}-{}
       8        0   {}-{]}
       8        0   {³ }-{¾}
       7        0   {1}-{I}
       7        0   {}-{³}
       6        0   { = n x}-{}
       6        0   {'}-{’}
       6        0   {}-{o}
       6        0   {}-{⁶}
       6        0   {³}-{¾}
       6        0   {· }-{}
       6        0   {“⁵” }-{4t 5+<\n>}
       6        0   {“⁵” }-{4t§5½<\n>}
       6        0   {“⁵” }-{«6 g»<\n>}
       5        0   {"}-{”}
       5        0   {I}-{|}
       5        0   {O}-{0}
       5        0   {Super}-{}
       5        0   {}-{,}
       5        0   {}-{K}
       5        0   {}-{n Xx<\n>}
       5        0   {}-{®}
       5        0   {}-{°}
       5        0   {³}-{⁵}
       5        0   {“⁵” }-{©c g<\n>}
       5        0   {“⁵” }-{«¢ 5<\n>}
       5        0   {⁵}-{}
       4        0   { -}-{.}
       4        0   { -}-{¾.}
       4        0   { :}-{}
       4        0   { …}-{A...}
       4        0   {"}-{'}
       4        0   {..}-{……}
       4        0   {.}-{…}
       4        0   {/}-{}
       4        0   {1-}-{T}
       4        0   {I.}-{L}
       4        0   {h}-{b}
       4        0   {}-{0}
       4        0   {}-{a}
       4        0   {}-{½}
       4        0   {}-{”}
       4        0   {“⁵” }-{«5<\n>}
       4        0   {“⁵” }-{«5»<\n>}
       4        0   {“⁵”}-{c¢ $}
       3        0   { ——}-{}
       3        0   {$}-{S}
       3        0   {0}-{O}
       3        0   {1}-{T}
       3        0   {EX}-{1 A}
       3        0   {F}-{lI }
       3        0   {T_T}-{F F}
       3        0   {c}-{e}
       3        0   {d}-{a}
       3        0   {g}-{q}
       3        0   {s}-{S}
       3        0   {y}-{v}
       3        0   {}-{.}
       3        0   {}-{3³<\n>}
       3        0   {}-{H}
       3        0   {}-{¼}
       3        0   {}-{’}
       3        0   {}-{⁵}
       3        0   {¥}-{Y}
       3        0   {³ -}-{¾}
       3        0   {³}-{3}
       3        0   {³}-{⁸}
       3        0   {¾}-{¼}
       3        0   {⁵}-{⁶}
       3        0   {⁸}-{⁶}
       2        0   { -}-{}
       2        0   { ½}-{¹}
       2        0   { …}-{}
       2        0   {!}-{/J}
       2        0   {"I}-{1}
       2        0   {'}-{}
       2        0   {/ }-{ _}
       2        0   {//}-{ w}
       2        0   {//}-{ }
       2        0   {00}-{oo}
       2        0   {0}-{o}
       2        0   {1}-{l}
       2        0   {4}-{}
